FullName                                                                                                                        Location
--------                                                                                                                        --------
AutoMapper, Version=6.0.2.0, Culture=neutral, PublicKeyToken=be96cd2c38ef1005                                                   C:\Program Files\WindowsPowerShell\Modules\Azure\5.1.2\Compute\AutoMapper.dll
AutoMapper, Version=6.2.2.0, Culture=neutral, PublicKeyToken=be96cd2c38ef1005                                                   C:\Program Files\WindowsPowerShell\Modules\Az.Resources\4.4.1\AutoMapper.dll
Azure.Core, Version=1.20.0.0, Culture=neutral, PublicKeyToken=92742159e12e44c8                                                  C:\Program Files\WindowsPowerShell\Modules\Az.Accounts\2.6.1\PreloadAssemblies\Azure.Core.dll
Azure.Identity, Version=1.4.0.0, Culture=neutral, PublicKeyToken=92742159e12e44c8                                               C:\Program Files\WindowsPowerShell\Modules\Az.Accounts\2.6.1\PreloadAssemblies\Azure.Identity.dll
Azure.Storage.Blobs, Version=12.10.0.0, Culture=neutral, PublicKeyToken=92742159e12e44c8                                        C:\Program Files\WindowsPowerShell\Modules\Az.Storage\3.12.0\Azure.Storage.Blobs.dll
Azure.Storage.Common, Version=12.9.0.0, Culture=neutral, PublicKeyToken=92742159e12e44c8                                        C:\Program Files\WindowsPowerShell\Modules\Az.Storage\3.12.0\Azure.Storage.Common.dll
Azure.Storage.Files.DataLake, Version=12.8.0.0, Culture=neutral, PublicKeyToken=92742159e12e44c8                                C:\Program Files\WindowsPowerShell\Modules\Az.Storage\3.12.0\Azure.Storage.Files.DataLake.dll
Azure.Storage.Files.Shares, Version=12.8.0.0, Culture=neutral, PublicKeyToken=92742159e12e44c8                                  C:\Program Files\WindowsPowerShell\Modules\Az.Storage\3.12.0\Azure.Storage.Files.Shares.dll
Azure.Storage.Queues, Version=12.8.0.0, Culture=neutral, PublicKeyToken=92742159e12e44c8                                        C:\Program Files\WindowsPowerShell\Modules\Az.Storage\3.12.0\Azure.Storage.Queues.dll
Hyak.Common, Version=1.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35                                                  C:\Program Files\WindowsPowerShell\Modules\Az.Accounts\2.6.1\Hyak.Common.dll
MediatR, Version=8.0.0.0, Culture=neutral, PublicKeyToken=bb9a41a5e8aaa7e2                                                      C:\Users\username\.vscode\extensions\ms-vscode.powershell-2021.10.2\modules\PowerShellEditorServices\bin\Common\MediatR.dll
Microsoft.ApplicationInsights, Version=2.12.0.21496, Culture=neutral, PublicKeyToken=31bf3856ad364e35                           C:\Program Files\WindowsPowerShell\Modules\Az.Accounts\2.6.1\Microsoft.ApplicationInsights.dll
Microsoft.Azure.Commands.Automation, Version=5.1.2.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35                          C:\Program Files\WindowsPowerShell\Modules\Azure\5.1.2\Automation\Microsoft.Azure.Commands.Automation.dll
Microsoft.Azure.Commands.Common.Authentication, Version=4.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35               C:\Program Files\WindowsPowerShell\Modules\Azure\5.1.2\Services\Microsoft.Azure.Commands.Common.Authentication.dll
Microsoft.Azure.Commands.Common.Authentication.Abstractions, Version=1.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35  C:\Program Files\WindowsPowerShell\Modules\Azure\5.1.2\Automation\Microsoft.Azure.Commands.Common.Authentication.Abstractions.dll
Microsoft.Azure.Commands.RecoveryServicesRdfe, Version=5.1.2.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35                C:\Program Files\WindowsPowerShell\Modules\Azure\5.1.2\RecoveryServices\Microsoft.Azure.Commands.RecoveryServicesRdfe.dll
Microsoft.Azure.Common, Version=2.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35                                       C:\Program Files\WindowsPowerShell\Modules\Az.Accounts\2.6.1\Microsoft.Azure.Common.dll
Microsoft.Azure.Cosmos.Table, Version=1.0.8.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35                                 C:\Program Files\WindowsPowerShell\Modules\Az.Storage\3.12.0\Microsoft.Azure.Cosmos.Table.dll
Microsoft.Azure.DocumentDB.Core, Version=2.11.2.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35                             C:\Program Files\WindowsPowerShell\Modules\Az.Storage\3.12.0\Microsoft.Azure.DocumentDB.Core.dll
Microsoft.Azure.Graph.RBAC, Version=3.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35                                   C:\Program Files\WindowsPowerShell\Modules\Az.Resources\4.4.1\Microsoft.Azure.Graph.RBAC.dll
Microsoft.Azure.KeyVault.Core, Version=2.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35                                C:\Program Files\WindowsPowerShell\Modules\Az.Storage\3.12.0\Microsoft.Azure.KeyVault.Core.dll
Microsoft.Azure.Management.Authorization, Version=2.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35                     C:\Program Files\WindowsPowerShell\Modules\Az.Resources\4.4.1\Microsoft.Azure.Management.Authorization.dll
Microsoft.Azure.Management.ManagementGroups, Version=1.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35                  C:\Program Files\WindowsPowerShell\Modules\Az.Resources\4.4.1\Microsoft.Azure.Management.ManagementGroups.dll
Microsoft.Azure.Management.ResourceManager, Version=3.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35                   C:\Program Files\WindowsPowerShell\Modules\Az.Resources\4.4.1\Microsoft.Azure.Management.ResourceManager.dll
Microsoft.Azure.Management.Sql, Version=1.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35                               C:\Program Files\WindowsPowerShell\Modules\Az.Sql\3.5.1\Microsoft.Azure.Management.Sql.dll
Microsoft.Azure.Management.Storage, Version=22.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35                          C:\Program Files\WindowsPowerShell\Modules\Az.Storage\3.12.0\Microsoft.Azure.Management.Storage.dll
